STRUCTURE_NAME,REF_AREA,Reference area,Measure,Age,Sex,Unit of measure,TIME_PERIOD,OBS_VALUE
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,14.1
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,13.6
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,13.9
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,13.7
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,13.8
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,13.5
Tobacco consumption,USA,United States,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,13.5
Tobacco consumption,COL,Colombia,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,13
Tobacco consumption,HRV,Croatia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,20.5
Tobacco consumption,HRV,Croatia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,17.7
Tobacco consumption,ZAF,South Africa,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,21
Tobacco consumption,ZAF,South Africa,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,20.6
Tobacco consumption,ZAF,South Africa,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,20.3
Tobacco consumption,ZAF,South Africa,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,20.2
Tobacco consumption,ZAF,South Africa,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,20.2
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,12.9
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,12.2
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,11.4
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,10.7
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,9.9
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,9.2
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,8.3
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,7.5
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,6.7
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,5.9
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,5.1
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,4.3
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,3
Tobacco consumption,CRI,Costa Rica,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2023,2.5
Tobacco consumption,CHL,Chile,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,24.5
Tobacco consumption,CHL,Chile,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,17.6
Tobacco consumption,HUN,Hungary,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.9
Tobacco consumption,HUN,Hungary,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,12.2
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,27.8
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,28.2
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,33.2
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,29.8
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,27
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,24.5
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,20.1
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,21
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,18.9
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,14.8
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,14.2
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,14.1
Tobacco consumption,CZE,Czechia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,10.9
Tobacco consumption,PRT,Portugal,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,16.8
Tobacco consumption,PRT,Portugal,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,14.2
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2010,812
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1221
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2012,544
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1286
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2014,824
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2015,918
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2016,663
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2017,829
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2018,734
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2019,575
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2020,735
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2021,438
Tobacco consumption,FIN,Finland,Tobacco consumption,15 years or over,Total,Grammes per person,2022,677
Tobacco consumption,POL,Poland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,22.7
Tobacco consumption,POL,Poland,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,17.1
Tobacco consumption,PRT,Portugal,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,15.1
Tobacco consumption,PRT,Portugal,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,12.4
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,19
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,17
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,16
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,15
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,13
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,13
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,12
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,11
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,12
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,9
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,9
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,8
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,8
Tobacco consumption,NOR,Norway,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2023,7
Tobacco consumption,SVK,Slovak Republic,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,18.5
Tobacco consumption,SVK,Slovak Republic,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,16.2
Tobacco consumption,DNK,Denmark,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,15.1
Tobacco consumption,CHL,Chile,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,12.7
Tobacco consumption,CHL,Chile,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,11.3
Tobacco consumption,SVN,Slovenia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,16.3
Tobacco consumption,SVN,Slovenia,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,14
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,13
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,14
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,15
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,15
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,11
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,11
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,10
Tobacco consumption,IRL,Ireland,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2023,11
Tobacco consumption,BGR,Bulgaria,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,28.2
Tobacco consumption,BGR,Bulgaria,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,29.1
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2010,675
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2011,601
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2012,573
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2013,538
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2014,519
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2015,493
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2016,468
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2017,437
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2018,410
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2019,370
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2020,347
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2021,343
Tobacco consumption,NZL,New Zealand,Tobacco consumption,15 years or over,Total,Grammes per person,2022,296
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,11.5
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,13.4
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,12.6
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,12.8
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,12.8
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,11.9
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,12.1
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,11.7
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,11.5
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,11.5
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12.4
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,11.6
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,10.8
Tobacco consumption,NOR,Norway,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2023,12
Tobacco consumption,SVN,Slovenia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,14.9
Tobacco consumption,SVN,Slovenia,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,11.9
Tobacco consumption,DNK,Denmark,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,17.5
Tobacco consumption,DNK,Denmark,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,14
Tobacco consumption,DNK,Denmark,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,15.6
Tobacco consumption,DNK,Denmark,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,9.2
Tobacco consumption,DNK,Denmark,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2023,5.5
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,16.4
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,16.9
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,18.5
Tobacco consumption,TUR,Türkiye,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,18.1
