REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,129.1
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,95.7
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,153
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,193.3
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,188.8
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,175.2
NZL,New Zealand,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,183.7
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,62.1
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,36.2
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,65.9
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,89.9
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,66.3
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,67.1
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,68.2
COL,Colombia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,33.3
JPN,Japan,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,25.2
JPN,Japan,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,27.3
JPN,Japan,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,10.6
JPN,Japan,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,13.4
JPN,Japan,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,13.3
JPN,Japan,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,17
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,95.9
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,96.7
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,95.7
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,98.6
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,99.5
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,101.6
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,100.6
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,103.8
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,148.8
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,94.1
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,98.9
CAN,Canada,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,100.9
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,195.8
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,206.9
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,209
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,207.1
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,215.4
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,204.5
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,195.3
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,193.9
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,191.2
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,127.6
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,138.3
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,143.2
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,144.5
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,151.4
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,163.2
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,172.9
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,181.1
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,190
BEL,Belgium,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,193.1
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,65
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,70.9
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,74.5
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,80.4
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,84.9
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,87.9
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,89.8
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,96.8
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,99.7
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,31.1
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,42.6
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,45.1
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,45.6
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,50.8
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,54
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,58.1
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,64.6
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,50
ITA,Italy,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,54.1
FRA,France,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,163.2
FRA,France,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,184
FRA,France,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,198.4
FRA,France,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,202.6
FRA,France,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,200
EST,Estonia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,134.1
EST,Estonia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,143.8
EST,Estonia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,98.1
EST,Estonia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,107.1
EST,Estonia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,103.3
EST,Estonia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,111.2
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,148
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,146.4
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,140.8
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,144.3
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,137.3
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,156.6
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,159
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,162.1
AUS,Australia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,153.6
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,195.5
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,203
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,197.4
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,221.9
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,237.4
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,234.5
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,220.8
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,218.7
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,221.9
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,73.7
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,147.9
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,134.8
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,162.6
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,178.6
LUX,Luxembourg,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,189.1
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,59.7
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,58.6
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,64.3
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,65.1
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,72
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,86.4
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,89.8
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,99.9
PRT,Portugal,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,117.1
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,162.8
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,174.2
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,186.5
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,195.4
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,196.9
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,210.6
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,213.6
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,245.8
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,278.3
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,126.4
CZE,Czechia,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,153.1
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,76.7
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,74.8
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,77.1
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,78.5
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,81.8
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,80.5
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,88.5
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,86.6
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,90.7
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,68.6
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,71.3
NOR,Norway,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,73.3
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,175.5
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,187.5
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,186
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,177.5
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,130.9
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,140.7
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,146.7
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,148.1
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,143.1
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,88.5
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,97.4
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,90.9
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,91
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,93.6
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,92.5
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,130.8
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,139.7
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,145.7
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,148.3
IRL,Ireland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,154.2
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,158.1
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,168.3
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,240.4
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,221.2
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,226.7
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,114
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,128.2
HUN,Hungary,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,139.2
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,104.2
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,97.5
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,91.6
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,72
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,73.8
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,77.6
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,78.7
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,78.1
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,73.5
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,76.6
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,72.6
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,73.7
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,68.7
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,70.1
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,66.3
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,76.2
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,78.8
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,86.1
ISR,Israel,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,101.4
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,72.1
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,69.8
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,73.8
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,70.7
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,70.8
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,65.5
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,67.4
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,65.6
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,68.2
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,76.8
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,86.9
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,86.1
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,85.6
CHE,Switzerland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,76.4
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,353.2
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,350.3
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,158.8
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,351.6
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,355.9
ROU,Romania,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,357
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,81.7
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,79.2
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,74.6
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,72.5
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,73.2
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,70
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,70.8
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,70.7
GBR,United Kingdom,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,73.4
