REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Age,Sex,Statistical operation,TIME_PERIOD,OBS_VALUE
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,249.7
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,68.8
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,71.6
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,76.6
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,345.3
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,358.4
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,377.3
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,354.4
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,353.1
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,351.3
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,61.5
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,231.8
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,70.5
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,76.3
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,534.1
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,570.7
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,587.2
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,649.1
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,621.3
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,647.4
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,596.4
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,577
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,570.2
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,437
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,497.7
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,254.1
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,269.9
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,282
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2005,283.1
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,306.2
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2003,320.4
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2002,347.4
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2001,343.9
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2000,313.5
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,185.7
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,190.9
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,194.7
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,192.6
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,188.7
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,192.5
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,194.5
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,198.3
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,203.9
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,197.4
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,227.3
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,293.7
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,333.7
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,356.8
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,372.7
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,364.1
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,371.7
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,368.5
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,378
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,373
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,226.7
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,284.3
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,186.4
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,179.3
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,218.5
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,212.5
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,222.6
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,219.4
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2008,210.1
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,212.7
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2006,211.5
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,155.8
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,176.5
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,169.3
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,178.7
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,141.1
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,146.4
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,148.7
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,157.3
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,164
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,174.5
