STRUCTURE_NAME,ACTION,REF_AREA,Reference area,Unit of measure,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2003,10.8
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2002,10.1
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2001,9.2
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2000,7.9
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2017,21.3
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2016,23.7
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2014,22.5
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2013,17.9
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2012,31.2
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2008,12.6
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2007,14
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2006,11.2
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2005,12.7
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2002,2.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Total,Diseases of the blood and blood-forming organs,2001,2.3
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2009,12.6
Causes of mortality,I,SVK,Slovak Republic,Deaths per 100 000 inhabitants,Female,Diseases of the nervous system,2020,20.2
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2018,61.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2017,58.7
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2003,26.5
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2002,27.2
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2001,26.8
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2000,27.5
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2009,40.2
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2008,39.8
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2007,36.8
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2006,36.5
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2005,30.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2004,26.6
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2016,55.2
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2015,52.5
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2014,52.5
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2013,50.3
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2012,44.4
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2011,42.3
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2010,40.6
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2020,59.8
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Male,Mental and behavioural disorders,2019,61.7
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2016,463.7
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2015,470.8
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2004,530.3
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2003,539.5
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2002,541.1
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2001,556.4
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2014,475.8
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2013,487.2
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2012,495.7
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2011,514.8
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2010,499.7
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2009,491
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2008,509.5
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2007,511
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2006,518.8
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2005,534.4
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2000,573.3
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2020,439.7
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2019,452.5
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2018,456.9
Causes of mortality,I,JPN,Japan,Deaths per 100 000 inhabitants,Female,Total,2017,459.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2012,61
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2011,61.9
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2017,56.5
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2016,55.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2015,51.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2014,54.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2010,62.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2009,65.9
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2008,68.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2007,68.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2006,67
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2005,71.9
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2004,68.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2020,62.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2019,58.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2018,57.7
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2003,66.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2002,67.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2001,66.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2000,69.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2013,59.4
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,171
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,169.9
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,188.8
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,172.5
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,176.8
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,177.9
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,176.6
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,179.8
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,180.2
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,182
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,180.8
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,185
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,187.3
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,188.5
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,195.1
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,194.1
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,163.9
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,164
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,168.1
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,168.1
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,168.8
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2015,22.7
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2014,22.9
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2003,34.6
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2004,1161.4
Causes of mortality,I,HUN,Hungary,Deaths per 100 000 inhabitants,Female,Total,2003,1212
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2000,32
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2013,23.8
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2012,24.3
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2011,25.6
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2010,25.5
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2009,26.5
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2008,29
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2007,28.6
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2006,29.2
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2005,33
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2004,32.9
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2020,21.6
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2019,20.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2018,21
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2017,20.3
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Female,"Endocrine, nutritional and metabolic diseases",2016,21.8
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2007,27.6
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2006,29
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2014,22.3
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2013,25
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2012,24.8
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2011,25.6
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2005,29.8
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2004,29.7
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2003,32.6
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2002,32.9
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2001,33.9
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2000,34.3
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2018,22.2
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2017,19.5
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2016,20.1
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2015,20.9
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2010,25
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2009,25.3
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2008,28.2
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2020,21.1
Causes of mortality,I,MEX,Mexico,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2019,23.6
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,292.6
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,298
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,359.9
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,373.2
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,371.2
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,363.7
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,304.3
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,315.6
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,319.7
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,320.9
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,326.9
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,331.6
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,337.5
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,342.3
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,347.4
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,355.7
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,265
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,269.5
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,279.9
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,283.5
Causes of mortality,I,ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,288.7
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2015,308.9
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2014,309.9
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2003,427.1
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2002,416.6
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2001,418.4
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2000,441.7
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2013,303.3
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2012,320.2
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2011,313.9
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2010,325
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2009,351.9
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2008,348.7
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2007,383.5
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2006,384.4
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2005,425.2
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2004,397.5
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2020,258.5
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2019,269.1
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2018,272
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2017,285.2
Causes of mortality,I,SVN,Slovenia,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2016,291.2
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Mental and behavioural disorders,2012,21.8
