STRUCTURE_NAME,REF_AREA,Reference area,Measure,Age,Sex,Unit of measure,Measurement method,TIME_PERIOD,OBS_VALUE
Body weight,BEL,Belgium,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,49.3
Body weight,EST,Estonia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,48.6
Body weight,EST,Estonia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,48.9
Body weight,EST,Estonia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,52
Body weight,EST,Estonia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,51.7
Body weight,EST,Estonia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,50.7
Body weight,EST,Estonia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,51.6
Body weight,EST,Estonia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,52.7
Body weight,FRA,France,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,32
Body weight,FRA,France,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,30.8
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Body weight,EST,Estonia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,16.9
Body weight,EST,Estonia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,19
Body weight,EST,Estonia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,19.5
Body weight,EST,Estonia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,19.2
Body weight,EST,Estonia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,19.1
Body weight,EST,Estonia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,20.5
Body weight,EST,Estonia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,21
Body weight,DNK,Denmark,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,46.7
Body weight,DNK,Denmark,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,47.4
Body weight,DNK,Denmark,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,51
Body weight,DNK,Denmark,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,52.6
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2010,21.8
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2011,21.4
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2012,20.1
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2013,20.4
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,20.8
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,20.1
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2016,21.2
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,21.6
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,22.7
Body weight,JPN,Japan,Share of population who are overweight,Total,Total,Percentage of population,Measured,2019,22.6
Body weight,AUT,Austria,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,14.3
Body weight,AUT,Austria,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,15
Body weight,AUT,Austria,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,16.6
Body weight,IRL,Ireland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,53
Body weight,IRL,Ireland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,56
Body weight,IRL,Ireland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,56
Body weight,EST,Estonia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,33.3
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,26.2
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,26.4
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,28.1
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,26.9
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Measured,2019,24.3
Body weight,MEX,Mexico,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,32.4
Body weight,MEX,Mexico,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,33.1
Body weight,MEX,Mexico,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,36.1
Body weight,MEX,Mexico,Share of population who are obese,Total,Total,Percentage of population,Measured,2020,36
Body weight,IND,India,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,5
Body weight,SVN,Slovenia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,55.6
Body weight,SVN,Slovenia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,56.5
,,,,,,,,,
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,33.2
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,32.8
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,33.2
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,33.9
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,32.9
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,33.1
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,33.4
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,34
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,34
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,33.8
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,33.4
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,33.8
Body weight,CAN,Canada,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,33.2
Body weight,CHE,Switzerland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,10.3
Body weight,CHE,Switzerland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,11.3
Body weight,CHE,Switzerland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,12.1
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2011,65
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2012,58
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,67.6
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2022,69.8
Body weight,IRL,Ireland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,35
Body weight,IRL,Ireland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,30
Body weight,IRL,Ireland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,35
Body weight,CHL,Chile,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,38.2
Body weight,CHL,Chile,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,41.3
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,15.6
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,16.6
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,15.8
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,15.7
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,18.3
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,18.8
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,19
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,19
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,20
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,21
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,23
Body weight,FIN,Finland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,24
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2013,56.9
Body weight,BRA,Brazil,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2019,60.3
Body weight,EST,Estonia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,51.3
Body weight,FRA,France,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,12.9
Body weight,FRA,France,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,14.5
Body weight,FRA,France,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,15.3
Body weight,FRA,France,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,15.4
Body weight,FRA,France,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,14.4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,15
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,15.8
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,17.4
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,17.5
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,16.8
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,17
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,18.9
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,18.9
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,19.8
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,20.3
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,21.5
Body weight,BRA,Brazil,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,22.4
Body weight,NOR,Norway,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,36
Body weight,NOR,Norway,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,34
Body weight,NOR,Norway,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,35
Body weight,NOR,Norway,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,36
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,46
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,45.8
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,46
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,45.8
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,46.4
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,45.2
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,45.9
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,46
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,46.1
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,46.4
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,47.6
Body weight,ITA,Italy,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,46.2
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,28.8
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,31
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,30.1
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,30.9
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,31.8
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,32.4
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,32.5
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2019,31.3
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2020,31.2
Body weight,NZL,New Zealand,Share of population who are obese,Total,Total,Percentage of population,Measured,2021,34.3
Body weight,TUR,Türkiye,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,33
Body weight,TUR,Türkiye,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,34.8
Body weight,TUR,Türkiye,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,33.7
Body weight,TUR,Türkiye,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,34.3
Body weight,TUR,Türkiye,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,35
Body weight,TUR,Türkiye,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,35.6
Body weight,CHL,Chile,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,34.4
Body weight,CHN,China (People’s Republic of),Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,7
Body weight,ISL,Iceland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,21
Body weight,ISL,Iceland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,22.2
Body weight,ISL,Iceland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,18.1
Body weight,ISL,Iceland,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,21.4
Body weight,HRV,Croatia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,55.8
Body weight,HRV,Croatia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,63.8
Body weight,ROU,Romania,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,53.9
Body weight,ROU,Romania,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,56.4
Body weight,DNK,Denmark,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,33.3
Body weight,DNK,Denmark,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,33.3
Body weight,DNK,Denmark,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,34.2
Body weight,DNK,Denmark,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,34.1
Body weight,DEU,Germany,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,36.7
Body weight,DEU,Germany,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,36.4
Body weight,DEU,Germany,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,36
Body weight,MEX,Mexico,Share of population who are overweight,Total,Total,Percentage of population,Measured,2012,38.8
Body weight,MEX,Mexico,Share of population who are overweight,Total,Total,Percentage of population,Measured,2016,39.3
Body weight,MEX,Mexico,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,39.1
Body weight,MEX,Mexico,Share of population who are overweight,Total,Total,Percentage of population,Measured,2020,38.1
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2010,25.3
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2011,25.5
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2012,23.7
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2013,24.1
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,24.7
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2015,23.8
Body weight,JPN,Japan,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2016,25.4
