REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE, 
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,28,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,25,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,20.3,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,33.4,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,33.4,
NLD,Netherlands,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,36.8,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,72.8,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,65.9,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,69.5,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,62.6,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,71.7,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,72.8,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,79.5,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,73.2,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,79.5,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,34.4,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,74.9,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,75.3,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,73.4,
GBR,United Kingdom,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,72.7,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,108.3,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,110.2,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,98.4,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,106.6,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,101.4,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,82.5,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,133.9,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,125,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,131.6,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,60,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,95.6,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,102.7,
LVA,Latvia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,104.3,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,8.6,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,9.3,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,9.4,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,12.1,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,13,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,14.3,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,15.2,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,19.6,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,19.1,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,2.8,
MEX,Mexico,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,7.3,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,73.6,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,69.5,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,71.4,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,63.8,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,64.4,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,63.4,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,61.1,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,58.2,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,64.7,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,37.2,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,72.5,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,80.1,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,87,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,89.2,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,88.3,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,85.8,
POL,Poland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,82.4,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,30.5,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,32.6,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,34.3,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,38.4,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,38.4,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,37,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,36,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,34.9,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,38.7,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,20.2,
CZE,Czechia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,27.4,
JPN,Japan,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,5.2,
JPN,Japan,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,6.6,
JPN,Japan,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,0.7,
JPN,Japan,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,2.4,
JPN,Japan,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,2.5,
JPN,Japan,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,3,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,91.4,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,96.4,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,96.2,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,99.7,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,111.1,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,104.2,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,106.1,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,113.1,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,120.6,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,40.6,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,68.5,
KOR,Korea,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,79,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,85.6,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,86.7,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,96.4,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,100.7,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,103.8,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,113.8,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,157.1,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,183.8,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,165.1,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,47.4,
SVK,Slovak Republic,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,75.9,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,42.3,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,50.5,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,51,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,53.7,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,71.6,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,78.7,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,70,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,74.7,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,75.7,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,27.8,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,30.1,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,27.3,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,29.2,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,32.4,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,34.8,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,34.1,
CRI,Costa Rica,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,40.9,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,40.4,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,45.4,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,50.7,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,47.7,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,55,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,15.7,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,27.4,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,27.7,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,29.5,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,31.7,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,37.3,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,36.8,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,35.9,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,34.4,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,36,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,40.6,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,37.2,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,48.2,
BEL,Belgium,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,50.8,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,13.3,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,12.9,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,13.2,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,16.2,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,16.9,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,17.3,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,16.3,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,15.6,
PRT,Portugal,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,18.3,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,44,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,46.3,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,42.7,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,52.3,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,49,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,53,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,50.1,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,43.6,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,52.7,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,23.8,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,34.8,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,37.3,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,36.2,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,34.1,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,46.6,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,43.9,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,43.1,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,43.6,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,40.6,
ESP,Spain,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,40.9,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,50.2,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,52.1,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,45.9,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,51.7,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,46.1,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,46.4,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,50.4,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,54.7,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,53.5,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,56.5,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,71.9,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,60.3,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,62,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,60.6,
DNK,Denmark,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,57.6,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,12.1,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,8.3,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,13.7,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,17.4,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,13.4,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,14.8,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,17.2,
COL,Colombia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,10.7,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,28.3,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,30.6,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,29.1,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,28,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,30.2,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,32.4,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,30.9,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,32.6,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,32,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,20.5,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,24.5,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,26.1,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,27.3,
CHE,Switzerland,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,28.1,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,30.7,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,30,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,26.6,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,26.7,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,26.2,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,26.4,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,31.2,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,34.2,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,36.6,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,5.1,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,11,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,16.3,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,23.4,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,25.9,
LUX,Luxembourg,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,28.3,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,24.6,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,27.3,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,33.4,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,29.7,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,36.4,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,38.3,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,50.9,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,46,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,49.8,
EST,Estonia,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,16.2,
USA,United States,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,38.5,
USA,United States,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,39.5,
USA,United States,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,92.5,
