STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2012,0.2
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2013,0.2
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2014,0.1
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2019,0.2
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2018,0.1
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2015,0.2
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2016,0.1
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2017,0.2
Causes of mortality,HRV,Croatia,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2020,0.2
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2014,156.2
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,158.3
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2016,157.9
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2017,157.5
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2011,147.2
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2012,151.6
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2018,156.7
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,216.7
Causes of mortality,GRC,Greece,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,216.2
Causes of mortality,COL,Colombia,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2021,186.2
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2011,13
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2012,13.7
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2013,12.6
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2014,11.8
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2015,11.3
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2016,10.7
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2017,11
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2018,10.7
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2019,10.3
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2020,10.5
Causes of mortality,BEL,Belgium,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2010,13.7
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2016,91.9
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2017,90.3
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2018,88.2
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2019,82.9
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2012,109.6
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2013,107
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2014,99.2
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2010,123.2
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2011,111.2
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2020,83.8
Causes of mortality,GBR,United Kingdom,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,98.6
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2012,130.1
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2013,116.1
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2014,106.6
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,106.6
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2016,103.5
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2017,116.1
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2018,108.5
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2019,113.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2020,133.3
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2021,179.9
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2010,141.2
Causes of mortality,POL,Poland,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2011,139.4
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,195.9
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,188.9
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,185.2
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2020,182.3
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2021,175.7
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,205.8
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,204.1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,204.8
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2022,174.2
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,202.7
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,200.9
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,201.1
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,195.5
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2018,0.1
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2019,0.1
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2020,0.1
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2021,0.1
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2022,0.1
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2010,0.3
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2011,0.3
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2012,0.2
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2013,0.2
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2014,0.2
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2015,0.2
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2016,0.2
Causes of mortality,NLD,Netherlands,Mortality,Deaths per 100 000 inhabitants,Total,Total,HIV-AIDS,2017,0.1
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,205.4
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,217.7
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,200.1
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,195.9
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,197.2
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,187.1
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,185.8
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2020,168.4
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2021,171.4
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2022,163.6
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,228.2
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,226
Causes of mortality,LUX,Luxembourg,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,223.4
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2017,18.8
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2018,17.8
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2019,16.7
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2020,18.4
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2021,17.4
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2022,17.7
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2010,17.6
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2011,17.6
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2012,17.6
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2013,17.5
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2014,16.5
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2015,17.7
Causes of mortality,SWE,Sweden,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2016,17.4
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,0.5
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,0.4
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Diabetes,2011,14.8
Causes of mortality,IRL,Ireland,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,2
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,0.4
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,0.3
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,0.3
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,0.4
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,0.4
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2021,0.4
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,0.5
Causes of mortality,BGR,Bulgaria,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,0.5
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,1
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,1.2
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,1.1
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,1.1
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,1.2
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,1.2
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,1.1
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,1.3
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2021,1.6
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2022,1.3
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,1.2
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,1.3
Causes of mortality,HUN,Hungary,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,1.3
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,233.9
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2011,235.7
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2012,237.8
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2013,239.1
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2014,241.3
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2015,243.2
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2016,244.5
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2017,242.8
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,240.4
Causes of mortality,ROU,Romania,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,231.9
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,1.9
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,1.9
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,2
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,1.7
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,1.8
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,1.7
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,1.9
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2021,1.4
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2022,1.8
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,2.1
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,1.9
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,1.9
Causes of mortality,AUS,Australia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,1.8
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2017,73.7
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2018,67.4
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2019,64.9
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2020,66.8
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2015,82.9
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2016,74.3
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2013,85.3
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2014,80.6
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2010,92.6
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2011,94.4
Causes of mortality,ITA,Italy,Mortality,Deaths per 100 000 inhabitants,Total,Total,heart diseases,2012,92.1
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2012,1
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2013,1.1
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2014,1.3
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2015,1.3
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2016,1.3
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2017,1.3
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2018,1.3
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2019,1.6
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2020,1.6
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2021,1.9
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2010,0.9
Causes of mortality,CZE,Czechia,Mortality,Deaths per 100 000 inhabitants,Total,Total,Asthma,2011,0.9
Causes of mortality,KOR,Korea,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2018,167.6
Causes of mortality,KOR,Korea,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2019,164.8
Causes of mortality,KOR,Korea,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2020,160.2
Causes of mortality,KOR,Korea,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2021,155
Causes of mortality,KOR,Korea,Mortality,Deaths per 100 000 inhabitants,Total,Total,Cancer,2010,210.1
