REF_AREA,Reference area,Measure,Unit of measure,Age,Sex,TIME_PERIOD,OBS_VALUE,TIME_RANGE
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,307.2,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,295.1,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,273.7,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,244.5,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,230.5,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,216.4,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,203.9,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,195.8,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,179.4,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,169.7,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,161.3,
AUT,Austria,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,118.7,
TUR,Türkiye,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Female,2015,201.5,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,865.9,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,867.3,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,838.9,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,891,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,798.9,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,873,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,818.7,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,809.3,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,821.9,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,767.5,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,751.6,
SVK,Slovak Republic,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,581,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,477.8,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,465.2,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,409.4,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,319.8,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,368.7,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,364.9,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,349.3,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,382.9,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,404.2,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,369.3,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,372.6,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,359.9,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,348.2,
LVA,Latvia,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,221.7,
CYP,Cyprus,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2009,24.4,Data applies to previous five years inclusive
CYP,Cyprus,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2014,35.2,Data applies to previous five years inclusive
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2000,534.9,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2001,503.1,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2002,497.9,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2003,486.3,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2004,476.1,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2005,547.1,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,553.1,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,581.1,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,578.3,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,504.8,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,471.6,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,485.5,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,496.3,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,483,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,464,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,464.5,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,469.4,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,434.9,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,431.4,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,404.5,
IRL,Ireland,Asthma and chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,298.8,
LVA,Latvia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,34.9,Data applies to previous five years inclusive
LVA,Latvia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,45.1,Data applies to previous five years inclusive
LVA,Latvia,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,52.1,Data applies to previous five years inclusive
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2000,129,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2001,139.8,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2002,142.3,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2003,143.7,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2004,160.3,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2005,172.1,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,178.6,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,199.5,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,203.7,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,207.6,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,222.1,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,228.4,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,233,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,234.1,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,238.3,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,246.6,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,169.3,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,184.2,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,194.5,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,202.4,
ESP,Spain,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,168.8,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,43.1,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,41.4,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,42.3,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,46.2,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,41.9,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,35.5,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,29.6,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,32.4,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,32.8,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,38.4,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,35.7,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,37.4,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,40.7,
SGP,Singapore,Hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,38.3,
TUR,Türkiye,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,99.6,
TUR,Türkiye,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,96.7,
TUR,Türkiye,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,94.5,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2001,22.9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2002,19.7,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2003,16.9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2004,15.2,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2005,14.6,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2006,12.4,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2007,11.2,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2008,10.9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2009,9.9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2010,10.2,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2011,8.7,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2012,8,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2013,9.6,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2014,8.1,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2015,7.3,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2016,7.5,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2017,7.2,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2018,7,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2019,6.9,
ITA,Italy,Asthma hospital admission,Per 100 000 inhabitants,15 years or over,Male,2020,3.9,
LTU,Lithuania,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2004,7.7,Data applies to previous five years inclusive
LTU,Lithuania,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2009,7.8,Data applies to previous five years inclusive
LTU,Lithuania,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2014,7.7,Data applies to previous five years inclusive
CHL,Chile,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2004,14.1,Data applies to previous five years inclusive
CHL,Chile,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2009,15.1,Data applies to previous five years inclusive
CHL,Chile,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2014,15.3,Data applies to previous five years inclusive
SGP,Singapore,Childhood acute lymphoblastic leukaemia five-year net survival,Percentage of population who have condition,14 years or less,Total,2004,79.8,Data applies to previous five years inclusive
SGP,Singapore,Childhood acute lymphoblastic leukaemia five-year net survival,Percentage of population who have condition,14 years or less,Total,2009,90.4,Data applies to previous five years inclusive
SGP,Singapore,Childhood acute lymphoblastic leukaemia five-year net survival,Percentage of population who have condition,14 years or less,Total,2014,88.6,Data applies to previous five years inclusive
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,302.8,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,307.7,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,283.6,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,286.9,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,321.4,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,289,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,281.1,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,273,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,270.7,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,234.2,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,234.3,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,230,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,196.1,
SGP,Singapore,Congestive heart failure hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,172.7,
EST,Estonia,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2004,48.9,Data applies to previous five years inclusive
EST,Estonia,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2009,53.8,Data applies to previous five years inclusive
BGR,Bulgaria,Cervical cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,49.2,Data applies to previous five years inclusive
BGR,Bulgaria,Cervical cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,53.2,Data applies to previous five years inclusive
BGR,Bulgaria,Cervical cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,54.8,Data applies to previous five years inclusive
CHE,Switzerland,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,59.8,Data applies to previous five years inclusive
CHE,Switzerland,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,66.9,Data applies to previous five years inclusive
CHE,Switzerland,Rectal cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,68.7,Data applies to previous five years inclusive
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2000,92.2,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2001,68.8,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2002,63.9,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2003,73.5,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2004,59.1,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2005,41.3,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2006,53.6,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2007,56.6,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,53.4,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,51.6,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,35,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,33.1,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,33.4,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,35.2,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,34.9,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,45.5,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,44.2,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,43.8,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,38.3,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,36,
ISL,Iceland,Diabetes hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,37.4,
FRA,France,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,30.5,Data applies to previous five years inclusive
FRA,France,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,32.1,Data applies to previous five years inclusive
FRA,France,Stomach cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,32.8,Data applies to previous five years inclusive
BRA,Brazil,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2004,46.9,Data applies to previous five years inclusive
BRA,Brazil,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2009,50.4,Data applies to previous five years inclusive
BRA,Brazil,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Male,2014,47,Data applies to previous five years inclusive
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2008,240.7,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2009,237.2,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2010,235.9,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2011,243.5,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2012,249.6,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2013,252.4,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2014,247.9,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2015,248.1,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2016,249.6,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2017,236,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2018,232.3,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2019,237.6,
NOR,Norway,Chronic obstructive pulmonary disease hospital admission,Per 100 000 inhabitants,15 years or over,Total,2020,187.9,
CHL,Chile,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2004,9.3,Data applies to previous five years inclusive
CHL,Chile,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2009,8.5,Data applies to previous five years inclusive
CHL,Chile,Lung cancer five-year net survival,Percentage of population who have condition,15 years or over,Female,2014,7.7,Data applies to previous five years inclusive
EST,Estonia,Colon cancer five-year net survival,Percentage of population who have condition,15 years or over,Total,2014,58.4,Data applies to previous five years inclusive
